language,is_source,n_dev,n_test,test_positive_rate,test_auroc,test_ece,tau_source,tau_language,tau_abs_diff,f1_source_threshold,f1_language_threshold,f1_gap,fpr_source_threshold,fpr_language_threshold,fnr_source_threshold,fnr_language_threshold,precision_source_threshold,recall_source_threshold,ppr_source_threshold,ppr_language_threshold
am,False,1000,1500,0.4773,0.5662,0.2355,0.4656,0.0412,0.4244,0.3085,0.65,0.3415,0.1569,0.9783,0.7863,0.0028,0.5543,0.2137,0.184,0.9873
hin,False,873,1308,0.513,0.5788,0.2797,0.4656,0.0413,0.4243,0.3903,0.6843,0.294,0.1507,0.8964,0.7228,0.0373,0.6596,0.2772,0.2156,0.9304
ar,False,1000,1500,0.5013,0.6369,0.2261,0.4656,0.0819,0.3838,0.4797,0.6839,0.2042,0.2193,0.8342,0.6157,0.0492,0.638,0.3843,0.302,0.8927
zh,False,1000,1500,0.4973,0.6011,0.1937,0.4656,0.0479,0.4177,0.5445,0.6654,0.1209,0.3647,0.9204,0.4879,0.0375,0.5814,0.5121,0.438,0.9413
hi,False,1000,1500,0.5007,0.8243,0.1319,0.4656,0.1741,0.2915,0.6593,0.7609,0.1017,0.1268,0.3778,0.4461,0.1545,0.8141,0.5539,0.3407,0.612
tt,False,1000,1500,0.498,0.5185,0.2681,0.4656,0.1151,0.3505,0.5592,0.6512,0.092,0.6162,0.9389,0.3708,0.0602,0.5032,0.6292,0.6227,0.9393
ja,False,1000,1500,0.4927,0.6571,0.1501,0.4656,0.0418,0.4238,0.5775,0.6534,0.076,0.3075,0.9461,0.4655,0.0419,0.628,0.5345,0.4193,0.952
uk,False,1000,1500,0.4933,0.7623,0.0988,0.4656,0.243,0.2226,0.6873,0.7127,0.0253,0.3079,0.5118,0.3108,0.1554,0.6855,0.6892,0.496,0.676
es,False,1000,1500,0.4713,0.8379,0.0634,0.4656,0.2001,0.2655,0.7287,0.7461,0.0174,0.2194,0.4288,0.2857,0.1188,0.7437,0.7143,0.4527,0.642
it,False,1000,1500,0.488,0.7182,0.1155,0.4656,0.3435,0.1221,0.6607,0.6754,0.0147,0.3138,0.4336,0.3443,0.2582,0.6657,0.6557,0.4807,0.584
de,False,1000,1500,0.4987,0.8162,0.0462,0.4656,0.2829,0.1827,0.7469,0.7566,0.0097,0.2992,0.4761,0.2246,0.1003,0.7205,0.7754,0.5367,0.6873
ru,False,1000,1500,0.4927,0.9069,0.0561,0.4656,0.4544,0.0113,0.826,0.8261,0.0001,0.2392,0.2484,0.1231,0.1164,0.7807,0.8769,0.5533,0.5613
en,True,1000,1500,0.494,0.9897,0.0548,0.4656,0.4656,0.0,0.9517,0.9517,0.0,0.054,0.054,0.0418,0.0418,0.9454,0.9582,0.5007,0.5007
fr,False,1000,1500,0.4827,0.9035,0.0307,0.4656,0.4242,0.0415,0.8324,0.8266,-0.0059,0.1804,0.2049,0.1492,0.1409,0.8148,0.8508,0.504,0.5207
he,False,402,603,0.3864,0.7037,0.2082,0.4656,0.3446,0.121,0.6038,0.5868,-0.017,0.4703,0.6135,0.2446,0.1803,0.5029,0.7554,0.5804,0.6932
